uk_male_risk,1.48
india_male_risk,1.50
male_ratio_sign,+
male_ratio,1.41
uk_obese_1_2_risk,1.09
india_obese_1_2_risk,1.01
obese_1_2_ratio_sign,
obese_1_2_ratio,-6.73
uk_obese_3_risk,1.04
india_obese_3_risk,1.01
obese_3_ratio_sign,
obese_3_ratio,-3.30
uk_bp_high_risk,0.99
india_bp_high_risk,0.99
bp_high_ratio_sign,+
bp_high_ratio,0.09
uk_diabetes_uncontr_risk,1.03
india_diabetes_uncontr_risk,1.11
diabetes_uncontr_ratio_sign,+
diabetes_uncontr_ratio,7.86
uk_diabetes_contr_risk,1.03
india_diabetes_contr_risk,1.01
diabetes_contr_ratio_sign,
diabetes_contr_ratio,-2.41
uk_asthma_ocs_risk,1.02
india_asthma_ocs_risk,1.01
asthma_ocs_ratio_sign,
asthma_ocs_ratio,-1.50
uk_autoimmune_dz_risk,1.01
india_autoimmune_dz_risk,1.00
autoimmune_dz_ratio_sign,
autoimmune_dz_ratio,-0.51
uk_haem_malig_1_risk,1.01
india_haem_malig_1_risk,1.00
haem_malig_1_ratio_sign,
haem_malig_1_ratio,-0.92
uk_cancer_non_haem_1_risk,1.03
india_cancer_non_haem_1_risk,1.00
cancer_non_haem_1_ratio_sign,
cancer_non_haem_1_ratio,-2.36
uk_chronic_heart_dz_risk,1.03
india_chronic_heart_dz_risk,1.01
chronic_heart_dz_ratio_sign,
chronic_heart_dz_ratio,-1.90
uk_chronic_resp_dz_risk,1.04
india_chronic_resp_dz_risk,1.04
chronic_resp_dz_ratio_sign,+
chronic_resp_dz_ratio,0.41
uk_immuno_other_dz_risk,1.00
india_immuno_other_dz_risk,1.00
immuno_other_dz_ratio_sign,+
immuno_other_dz_ratio,0.02
uk_kidney_dz_risk,1.08
india_kidney_dz_risk,1.09
kidney_dz_ratio_sign,+
kidney_dz_ratio,0.75
uk_liver_dz_risk,1.02
india_liver_dz_risk,1.03
liver_dz_ratio_sign,+
liver_dz_ratio,1.42
uk_neuro_other_risk,1.00
india_neuro_other_risk,1.00
neuro_other_ratio_sign,
neuro_other_ratio,-0.08
uk_stroke_dementia_risk,1.03
india_stroke_dementia_risk,1.01
stroke_dementia_ratio_sign,
stroke_dementia_ratio,-1.73
uk_health_risk,2.34
india_health_risk,2.09
health_ratio_sign,
health_ratio,-10.76
