age,rate100k_male_mean,rate100k_male_lower,rate100k_male_upper,rate100k_female_mean,rate100k_female_lower,rate100k_female_upper,pop_male,pop_female
35,92.0,47.6,160.7,152.7,93.3,235.8,334046,334931
36,124.7,72.7,199.7,66.9,30.6,126.9,340309,341747  
37,139.4,85.2,215.3,163.9,103.9,245.9,345224,348338
38,246.3,173.4,339.4,183.2,120.8,266.6,360518,363211 
39,244.2,173.7,333.8,160.7,104.0,237.2,360518,363211 
40,190.9,130.6,269.5,236.4,168.1,323.2,385058,393469 
41,239.9,171.4,326.7,361.6,275.3,466.4,376049,383443 
42,312.6,234.2,408.9,345.9,262.0,448.1,384557,393354 
43,457.9,362.5,570.6,298.2,221.3,393.1,384595,392455 
44,396.3,308.4,501.6,488.3,389.5,604.5,391659,396844 
45,412.1,322.4,518.9,428.7,337.2,537.4,389810,399415 
46,484.1,387.7,597.1,599.8,490.6,726.1,392097,401209 
47,624.2,514.4,750.4,618.2,507.6,745.8,388933,397082 
48,597.9,489.1,723.9,731.5,609.4,870.9,381317,388739 
49,849.7,717.9,998.7,969.1,825.6,1130.3,373943,379531
50,787.4,658.8,933.8,1061.6,909.3,1232.1,361409,366327
51,985.8,839.8,1149.8,1075.2,920.9,1247.9,346924,351937 
52,1206.2,1041.2,1389.9,1408.9,1227.7,1609.4,339352,344086 
53,1502.0,1316.1,1706.8,1393.4,1212.6,1593.7,332154,336435 
54,1470.1,1283.9,1675.8,1669.6,1468.2,1890.8,319149,324806
55,1689.8,1483.2,1917.2,1751.2,1541.7,1981.3,308806,313516 
56,2019.8,1791.3,2269.4,2366.7,2116.4,2638.5,297135,303305 
57,2278.0,2033.7,2543.5,2396.8,2145.9,2669.0,297836,305403 
58,2451.5,2197.8,2726.4,2681.2,2415.3,2968.4,295033,301455 
59,3040.2,2756.0,3345.7,2760.1,2487.5,3054.6,285974,295038
60,2959.3,2674.3,3266.4,3418.8,3112.2,3747.5,288397,297457
61,3702.1,3384.0,4041.9,3472.9,3168.2,3799.0,293435,305710
62,3947.1,3622.0,4293.5,3702.7,3392.1,4034.0,302337,313305 
63,4109.5,3785.3,4454.0,3858.7,3547.8,4189.5,319545,332459 
64,4732.4,4400.8,5082.3,4274.2,3963.2,4603.1,348284,361362 
65,5121.9,4760.9,5503.0,4547.6,4211.9,4902.9,268158,280482 
66,6037.8,5600.6,6500.1,4925.2,4535.4,5339.5,260309,273585 
67,6286.9,5858.5,6738.4,5673.2,5272.3,6096.5,259773,273394
68,7180.7,6695.8,7691.4,5646.0,5227.4,6089.1,240572,256467 
69,7589.7,7075.3,8131.6,5839.5,5401.4,6303.6,213801,231079 
70,7473.9,6925.4,8054.3,6810.5,6301.9,7349.2,191917,210047 
71,8378.5,7792.2,8997.3,6519.3,6022.8,7045.8,199921,219818 
72,8704.3,8108.5,9332.2,7241.5,6728.8,7783.0,197591,219848 
73,9778.5,9144.1,10445.4,7168.4,6647.5,7719.3,192255,214700 
74,9398.4,8759.5,10071.6,7579.6,7037.4,8152.4,181894,206560 
75,9158.3,8510.7,9842.2,7440.4,6893.2,8019.6,171911,198752 
76,10352.1,9640.5,11102.3,7706.0,7143.2,8301.3,162735,191159
77,10050.6,9337.0,10804.2,8147.5,7557.1,8771.7,149477,180146 
78,10517.6,9751.2,11328.2,7821.2,7215.7,8464.0,140940,174360 
79,10317.8,9552.4,11128.3,7706.6,7113.7,8335.7,136064,172787 
80,10994.9,10173.1,11865.3,8286.5,7661.2,8949.3,127395,168522 
81,11872.4,10997.3,12798.6,8541.3,7900.6,9220.2,116429,160681 
82,11408.1,10505.3,12367.8,8156.7,7509.0,8845.3,104119,148184 
83,12755.2,11739.0,13835.9,8489.7,7807.0,9216.2,92560,36864 
84,12132.6,11074.6,13264.5,7477.9,6807.2,8196.8,83689,27404 
85,11844.6,10769.5,12997.9,8149.2,7422.2,8928.2,74160,18928 
86,12018.2,10863.5,13262.2,7854.0,7113.0,8651.3,63615,08907 
87,11655.6,10437.2,12977.2,7025.4,6304.5,7806.0,54463,99659
88,11767.1,10445.0,13210.3,7120.4,6358.1,7949.0,46119,90656 
89,11255.6,9832.9,12826.4,6604.5,5838.7,7442.7,39749,82648
90,11086.4,9599.5,12738.3,6471.2,5686.2,7334.3,10164,27510 
91,10639.6,9113.2,12348.6,6857.9,6035.7,7760.9,10164,27510 
92,9776.8,7881.5,11990.4,6544.6,5515.9,7709.5,10164,27510 
93,8373.6,6253.8,10980.9,6392.4,5206.7,7767.4,10164,27510 
94,8805.0,6345.9,11901.8,5705.5,4480.0,7162.7,10164,27510 
95,8148.1,5608.8,11443.0,4148.3,3048.0,5516.3,10164,27510 
96,7142.9,4476.4,10814.4,3415.2,2336.0,4821.2,10164,27510 
97,5357.1,2768.1,9357.9,5020.9,3516.6,6951.1,10164,27510 
98,4929.6,1981.9,10156.8,4212.5,2670.3,6320.8,10164,27510 
99,8000.0,3453.8,15763.2,4134.4,2363.1,6714.0,10164,27510 
100,13114.8,5662.0,25841.3,6227.1,3627.5,9970.2,10164,27510 
