age,male,female,total
0,327309,310525,637834
1,338368,321522,659890
2,349229,331803,681032
3,349199,331559,680758
4,352148,335065,687213
5,360688,342703,703391
6,370995,354215,725210
7,363496,346678,710174
8,356965,340812,697777
9,351790,335524,687314
10,355145,337926,693071
11,344574,326534,671108
12,337076,321037,658113
13,322996,307963,630959
14,317980,302888,620868
15,309945,293801,603746
16,305110,288845,593955
17,313367,298838,612205
18,324403,305833,630236
19,337046,319387,656433
20,343991,325703,669694
21,357200,337190,694390
22,363315,340570,703885
23,364520,345682,710202
24,376642,357841,734483
25,377103,361973,739076
26,385487,377446,762933
27,397538,383724,781262
28,391623,377887,769510
29,384229,378914,763143
30,385964,385662,771626
31,372655,379770,752425
32,380880,379553,760433
33,380805,379662,760467
34,369422,373224,742646
35,370811,376544,747355
36,369418,376552,745970
37,372822,378172,750994
38,373242,378447,751689
39,359561,361914,721475
40,336044,336944,672988
41,329983,331604,661587
42,334321,338908,673229
43,340409,345283,685692
44,345749,351339,697088
45,360708,365570,726278
46,375568,380534,756102
47,384636,394820,779456
48,375401,384788,760189
49,383381,393836,777217
50,382860,393074,775934
51,389406,396933,786339
52,386668,398868,785536
53,388054,399900,787954
54,384446,395242,779688
55,375450,385802,761252
56,367033,375868,742901
57,353738,362172,715910
58,337972,347088,685060
59,329177,339029,668206
60,321653,331290,652943
61,308159,318785,626944
62,296626,306696,603322
63,284029,296404,580433
64,282719,298013,580732
65,278642,292661,571303
66,268184,285237,553421
67,268738,286641,555379
68,271970,293101,565071
69,278608,298811,577419
70,292024,315080,607104
71,315843,339855,655698
72,240337,261886,502223
73,230038,252895,482933
74,226476,250366,476842
75,205959,232313,438272
76,179879,206575,386454
77,158067,184848,342915
78,161540,190485,352025
79,156343,187117,343460
80,147733,179519,327252
81,135514,168751,304265
82,123492,158153,281645
83,112133,147147,259280
84,98000,133314,231314
85,87528,123624,211152
86,79030,116217,195247
87,69067,106926,175993
88,58264,95694,153958
89,47498,81854,129352
90,157788,341488,499276
