state_name	pop_2021_est
uttar pradesh	240000000
maharashtra	123100000
bihar	124700000
west bengal	99600000
madhya pradesh	85400000
tamil nadu	77800000
rajasthan	81000000
karnataka	67600000
gujarat	63900000
andhra pradesh	53900000
odisha	46400000
telangana	38500000
kerala	35700000
jharkhand	38600000
assam	35600000
punjab	30100000
chhattisgarh	29400000
haryana	28200000
delhi	18700000
jammu & kashmir	13600000
uttarakhand	11200000
himachal pradesh	7450000
tripura	4170000
meghalaya	3340000
manipur	3091000
nagaland	2300000
goa	1586000
arunachal pradesh	1570000
puducherry	1413000
mizoram	1239000
chandigarh	1158000
sikkim	690000
dadra & nagar haveli and daman & diu	615000
andaman & nicobar	417000
ladakh	289000
lakshadweep	73183
